PRCTILE,GOOD_ON_DUR,GOOD_OFF_DUR,AVG_ON_DUR,AVG_OFF_DUR,POOR_ON_DUR,POOR_OFF_DUR
0.407,5.2857,1.5845,2.3349,1.6641,2.1675,3.1274
0.408,5.3012,1.5911,2.3396,1.6684,2.1716,3.1434
0.409,5.3168,1.5976,2.3444,1.6727,2.1757,3.1594
0.41,5.3323,1.6042,2.3491,1.6771,2.1798,3.1754
0.411,5.3478,1.6107,2.3539,1.6814,2.1839,3.1914
0.412,5.3634,1.6173,2.3586,1.6857,2.188,3.2074
0.413,5.3789,1.6238,2.3633,1.69,2.1921,3.2234
0.414,5.3945,1.6304,2.3681,1.6944,2.1962,3.2394
0.415,5.41,1.6369,2.3728,1.6987,2.2003,3.2554
0.416,5.4255,1.6435,2.3776,1.703,2.2044,3.2714
0.417,5.4411,1.65,2.3823,1.7073,2.2085,3.2874
0.418,5.4566,1.6566,2.3871,1.7116,2.2126,3.3034
0.419,5.4722,1.6631,2.3918,1.716,2.2167,3.3194
0.42,5.4877,1.6697,2.3966,1.7203,2.2208,3.3354
0.421,5.5053,1.6762,2.4013,1.7246,2.2249,3.3514
0.422,5.5305,1.6828,2.4061,1.7289,2.229,3.3674
0.423,5.5558,1.6893,2.4108,1.7333,2.2331,3.3834
0.424,5.581,1.6959,2.4156,1.7376,2.2372,3.3994
0.425,5.6063,1.7024,2.4203,1.7419,2.2413,3.4154
0.426,5.6315,1.709,2.4251,1.7462,2.2454,3.4314
0.427,5.6568,1.7155,2.4298,1.7506,2.2495,3.4474
0.428,5.682,1.7221,2.4346,1.7549,2.2536,3.4634
0.429,5.7073,1.7286,2.4393,1.7592,2.2577,3.4794
0.43,5.7325,1.7352,2.4441,1.7635,2.2617,3.4954
0.431,5.7578,1.7417,2.4488,1.7679,2.2658,3.5164
0.432,5.783,1.7483,2.4536,1.7722,2.2699,3.5396
0.433,5.8082,1.7548,2.4583,1.7765,2.274,3.5627
0.434,5.8335,1.7614,2.4631,1.7808,2.2781,3.5858
0.435,5.8588,1.7679,2.4678,1.7851,2.2822,3.6089
0.436,5.884,1.7745,2.4726,1.7895,2.2863,3.632
0.437,5.9093,1.781,2.4773,1.7938,2.2904,3.6551
0.438,5.9345,1.7875,2.482,1.7981,2.2945,3.6782
0.439,5.9597,1.7941,2.4868,1.8024,2.2986,3.7013
0.44,5.985,1.8006,2.4915,1.8068,2.3027,3.7244
0.441,6.0102,1.8072,2.4963,1.8111,2.3068,3.7476
0.442,6.0355,1.8137,2.5015,1.8154,2.3109,3.7707
0.443,6.0608,1.8203,2.5083,1.8197,2.315,3.7938
0.444,6.086,1.8268,2.5151,1.8241,2.3191,3.8169
0.445,6.1113,1.8334,2.5219,1.8284,2.3232,3.84
0.446,6.1365,1.8399,2.5287,1.8327,2.3273,3.8631
0.447,6.1617,1.8465,2.5354,1.837,2.3314,3.8862
0.448,6.187,1.853,2.5422,1.8414,2.3355,3.9093
0.449,6.2123,1.8596,2.549,1.8457,2.3396,3.9324
0.45,6.2375,1.8661,2.5558,1.85,2.3437,3.9556
0.451,6.2628,1.8727,2.5626,1.8543,2.3478,3.9787
0.452,6.288,1.8792,2.5694,1.8586,2.3519,4.0018
0.453,6.3133,1.8858,2.5762,1.863,2.356,4.0249
0.454,6.3385,1.8923,2.583,1.8673,2.3601,4.048
0.455,6.3637,1.8989,2.5898,1.8716,2.3642,4.0711
0.456,6.389,1.9054,2.5966,1.8759,2.3683,4.0942
0.457,6.4142,1.912,2.6033,1.8803,2.3724,4.1173
0.458,6.4395,1.9185,2.6101,1.8846,2.3765,4.1404
0.459,6.4648,1.9251,2.6169,1.8889,2.3806,4.1636
0.46,6.49,1.9316,2.6237,1.8932,2.3847,4.1867
0.461,6.5152,1.9382,2.6305,1.8976,2.3888,4.2098
0.462,6.5405,1.9447,2.6373,1.9019,2.3929,4.2329
0.463,6.5658,1.9513,2.6441,1.9062,2.397,4.256
0.464,6.591,1.9578,2.6509,1.9105,2.401,4.2791
0.465,6.6162,1.9644,2.6577,1.9149,2.4051,4.3022
0.466,6.6415,1.9709,2.6645,1.9192,2.4092,4.3253
0.467,6.6668,1.9775,2.6713,1.9235,2.4133,4.3484
0.468,6.692,1.984,2.678,1.9278,2.4174,4.3716
0.469,6.7172,1.9905,2.6848,1.9321,2.4215,4.3947
0.47,6.7425,1.9971,2.6916,1.9365,2.4256,4.4178
0.471,6.7677,2.0036,2.6984,1.9408,2.4297,4.4409
0.472,6.793,2.0102,2.7052,1.9451,2.4338,4.464
0.473,6.8182,2.0167,2.712,1.9494,2.4379,4.4871
0.474,6.8435,2.0233,2.7188,1.9538,2.442,4.5184
0.475,6.8687,2.0298,2.7256,1.9581,2.4461,4.56
0.476,6.894,2.0364,2.7324,1.9624,2.4502,4.6016
0.477,6.9192,2.0429,2.7392,1.9667,2.4543,4.6432
0.478,6.9445,2.0495,2.746,1.9711,2.4584,4.6848
0.479,6.9697,2.056,2.7527,1.9754,2.4625,4.7264
0.48,6.995,2.0626,2.7595,1.9797,2.4666,4.768
0.481,7.0202,2.0691,2.7663,1.984,2.4707,4.8096
0.482,7.0455,2.0757,2.7731,1.9884,2.4748,4.8512
0.483,7.0707,2.0822,2.7799,1.9927,2.4789,4.8928
0.484,7.096,2.0888,2.7867,1.997,2.483,4.9344
0.485,7.1212,2.0953,2.7935,2.0013,2.4871,4.976
0.486,7.1465,2.1019,2.8003,2.0056,2.4912,5.0176
0.487,7.1717,2.1084,2.8071,2.01,2.4953,5.0592
0.488,7.197,2.115,2.8139,2.0143,2.4994,5.1008
0.489,7.2222,2.1215,2.8207,2.0186,2.5053,5.1424
0.49,7.2475,2.1281,2.8274,2.0229,2.5116,5.184
0.491,7.2727,2.1346,2.8342,2.0273,2.5179,5.2256
0.492,7.298,2.1412,2.841,2.0316,2.5242,5.2672
0.493,7.3232,2.1477,2.8478,2.0359,2.5305,5.3088
0.494,7.3485,2.1543,2.8546,2.0402,2.5368,5.3504
0.495,7.3738,2.1608,2.8614,2.0446,2.5431,5.392
0.496,7.399,2.1674,2.8682,2.0489,2.5494,5.4336
0.497,7.4242,2.1739,2.875,2.0532,2.5557,5.4752
0.498,7.4495,2.1805,2.8818,2.0575,2.562,5.5112
0.499,7.4748,2.187,2.8886,2.0619,2.5683,5.5389
0.5,7.5,2.1935,2.8953,2.0662,2.5746,5.5667
0.501,7.5337,2.2001,2.9021,2.0705,2.5809,5.5944
0.502,7.5673,2.2066,2.9089,2.0748,2.5872,5.6221
0.503,7.601,2.2132,2.9157,2.0791,2.5935,5.6499
0.504,7.6347,2.2197,2.9225,2.0835,2.5998,5.6776
0.505,7.6683,2.2263,2.9293,2.0878,2.6061,5.7053
0.506,7.702,2.2328,2.9361,2.0921,2.6124,5.7331
0.507,7.7357,2.2394,2.9429,2.0964,2.6187,5.7608
0.508,7.7693,2.2459,2.9497,2.1008,2.625,5.7885
0.509,7.803,2.2525,2.9565,2.1051,2.6313,5.8163
0.51,7.8367,2.259,2.9633,2.1094,2.6376,5.844
0.511,7.8703,2.2656,2.97,2.1137,2.6439,5.8717
0.512,7.904,2.2721,2.9768,2.1181,2.6502,5.8995
0.513,7.9377,2.2787,2.9836,2.1224,2.6565,5.9272
0.514,7.9713,2.2852,2.9904,2.1267,2.6628,5.9549
0.515,8.005,2.2918,2.9972,2.131,2.6691,5.9827
0.516,8.0387,2.2983,3.004,2.1354,2.6754,6.0104
0.517,8.0723,2.3049,3.0108,2.1397,2.6817,6.0381
0.518,8.106,2.3114,3.0176,2.144,2.688,6.0659
0.519,8.1397,2.318,3.0244,2.1483,2.6943,6.0936
0.52,8.1733,2.3245,3.0312,2.1526,2.7006,6.1213
0.521,8.207,2.3311,3.038,2.157,2.7069,6.1491
0.522,8.2407,2.3376,3.0447,2.1613,2.7132,6.1768
0.523,8.2743,2.3442,3.0515,2.1656,2.7195,6.2045
0.524,8.308,2.3507,3.0583,2.1699,2.7258,6.2323
0.525,8.3417,2.3573,3.0651,2.1743,2.7321,6.26
0.526,8.3753,2.3638,3.0719,2.1786,2.7384,6.2877
0.527,8.409,2.3704,3.0787,2.1829,2.7447,6.3155
0.528,8.4427,2.3769,3.0855,2.1872,2.751,6.3432
0.529,8.4763,2.3835,3.0923,2.1916,2.7573,6.3709
0.53,8.52,2.39,3.0991,2.1959,2.7636,6.3987
0.531,8.5873,2.3965,3.1059,2.2002,2.7699,6.4264
0.532,8.6547,2.4031,3.1127,2.2045,2.7762,6.4541
0.533,8.722,2.4096,3.1194,2.2089,2.7825,6.4819
0.534,8.7893,2.4162,3.1262,2.2132,2.7888,6.509
0.535,8.8567,2.4227,3.133,2.2175,2.7951,6.535
0.536,8.924,2.4293,3.1398,2.2218,2.8014,6.561
0.537,8.9913,2.4358,3.1466,2.2261,2.8077,6.587
0.538,9.0587,2.4424,3.1534,2.2305,2.814,6.613
0.539,9.126,2.4489,3.1602,2.2348,2.8203,6.639
0.54,9.1933,2.4555,3.167,2.2391,2.8266,6.665
0.541,9.2607,2.462,3.1738,2.2434,2.8329,6.691
0.542,9.328,2.4686,3.1806,2.2478,2.8392,6.717
0.543,9.3953,2.4751,3.1873,2.2521,2.8455,6.743
0.544,9.4627,2.4817,3.1941,2.2564,2.8518,6.769
0.545,9.5225,2.4882,3.2009,2.2607,2.8581,6.795
0.546,9.573,2.4948,3.2077,2.2651,2.8644,6.821
0.547,9.6235,2.5026,3.2145,2.2694,2.8707,6.847
0.548,9.674,2.5153,3.2213,2.2737,2.877,6.873
0.549,9.7245,2.5279,3.2281,2.278,2.8833,6.899
0.55,9.775,2.5406,3.2349,2.2824,2.8896,6.925
0.551,9.8255,2.5533,3.2417,2.2867,2.8959,6.951
0.552,9.876,2.566,3.2485,2.291,2.9021,6.977
0.553,9.9265,2.5787,3.2553,2.2953,2.9084,7.003
0.554,9.977,2.5914,3.262,2.2996,2.9147,7.029
0.555,10.028,2.6041,3.2688,2.304,2.921,7.055
0.556,10.078,2.6168,3.2756,2.3083,2.9273,7.081
0.557,10.129,2.6294,3.2824,2.3126,2.9336,7.107
0.558,10.179,2.6421,3.2892,2.3169,2.9399,7.133
0.559,10.23,2.6548,3.296,2.3213,2.9462,7.159
0.56,10.28,2.6675,3.3028,2.3256,2.9525,7.185
0.561,10.331,2.6802,3.3096,2.3299,2.9588,7.211
0.562,10.381,2.6929,3.3164,2.3342,2.9651,7.237
0.563,10.431,2.7056,3.3232,2.3386,2.9714,7.263
0.564,10.482,2.7182,3.33,2.3429,2.9777,7.289
0.565,10.63,2.7309,3.3367,2.3472,2.984,7.315
0.566,10.832,2.7436,3.3435,2.3515,2.9903,7.341
0.567,11.034,2.7563,3.3503,2.3559,2.9966,7.367
0.568,11.236,2.769,3.3571,2.3602,3.0029,7.393
0.569,11.438,2.7817,3.3639,2.3645,3.0092,7.419
0.57,11.535,2.7944,3.3707,2.3688,3.0155,7.445
0.571,11.585,2.8071,3.3775,2.3731,3.0218,7.471
0.572,11.636,2.8197,3.3843,2.3775,3.0281,7.497
0.573,11.686,2.8324,3.3911,2.3818,3.0344,7.5283
0.574,11.737,2.8451,3.3979,2.3861,3.0407,7.5603
0.575,11.787,2.8578,3.4047,2.3904,3.047,7.5923
0.576,11.838,2.8705,3.4114,2.3948,3.0533,7.6243
0.577,11.889,2.8832,3.4182,2.3991,3.0596,7.6563
0.578,11.939,2.8959,3.425,2.4034,3.0659,7.6883
0.579,11.989,2.9086,3.4318,2.4077,3.0722,7.7203
0.58,12.04,2.9212,3.4386,2.4121,3.0785,7.7523
0.581,12.091,2.9339,3.4454,2.4164,3.0848,7.7843
0.582,12.141,2.9466,3.4522,2.4207,3.0911,7.8163
0.583,12.192,2.9593,3.459,2.425,3.0974,7.8483
0.584,12.242,2.972,3.4658,2.4294,3.1037,7.8803
0.585,12.293,2.9847,3.4726,2.4337,3.11,7.9123
0.586,12.343,2.9974,3.4793,2.438,3.1163,7.9443
0.587,12.393,3.0101,3.4861,2.4423,3.1226,7.9763
0.588,12.444,3.0227,3.4929,2.4466,3.1289,8.0083
0.589,12.495,3.0354,3.4997,2.451,3.1352,8.0403
0.59,12.545,3.0481,3.5084,2.4553,3.1415,8.0723
0.591,12.596,3.0608,3.5171,2.4596,3.1478,8.1043
0.592,12.646,3.0735,3.5258,2.4639,3.1541,8.1363
0.593,12.697,3.0862,3.5345,2.4683,3.1604,8.1683
0.594,12.747,3.0989,3.5432,2.4726,3.1667,8.2003
0.595,12.797,3.1116,3.5519,2.4769,3.173,8.2323
0.596,12.848,3.1242,3.5607,2.4812,3.1793,8.2643
0.597,12.898,3.1369,3.5694,2.4856,3.1856,8.2963
0.598,12.949,3.1496,3.5781,2.4899,3.1919,8.3283
0.599,12.999,3.1623,3.5868,2.4942,3.1982,8.3603
0.6,13.05,3.175,3.5955,2.4985,3.2045,8.3923
0.601,13.101,3.1877,3.6042,2.5059,3.2108,8.4243
0.602,13.151,3.2004,3.613,2.5148,3.2171,8.4563
0.603,13.201,3.2131,3.6217,2.5237,3.2234,8.4883
0.604,13.252,3.2257,3.6304,2.5326,3.2297,8.524
0.605,13.303,3.2384,3.6391,2.5415,3.236,8.5618
0.606,13.353,3.2511,3.6478,2.5504,3.2423,8.5996
0.607,13.404,3.2638,3.6565,2.5593,3.2486,8.6375
0.608,13.454,3.2765,3.6653,2.5682,3.2549,8.6753
0.609,13.506,3.2892,3.674,2.5772,3.2612,8.7131
0.61,13.573,3.3019,3.6827,2.5861,3.2675,8.7509
0.611,13.641,3.3146,3.6914,2.595,3.2738,8.7887
0.612,13.708,3.3272,3.7001,2.6039,3.2801,8.8265
0.613,13.775,3.3399,3.7088,2.6128,3.2864,8.8644
0.614,13.843,3.3526,3.7176,2.6217,3.2927,8.9022
0.615,13.91,3.3653,3.7263,2.6306,3.299,8.94
0.616,13.977,3.378,3.735,2.6395,3.3053,8.9778
0.617,14.045,3.3907,3.7437,2.6484,3.3116,9.0156
0.618,14.112,3.4034,3.7524,2.6573,3.3179,9.0535
0.619,14.179,3.4161,3.7611,2.6662,3.3241,9.0913
0.62,14.247,3.4287,3.7699,2.6752,3.3304,9.1291
0.621,14.314,3.4414,3.7786,2.6841,3.3367,9.1669
0.622,14.381,3.4541,3.7873,2.693,3.343,9.2047
0.623,14.449,3.4668,3.796,2.7019,3.3493,9.2425
0.624,14.516,3.4795,3.8047,2.7108,3.3556,9.2804
0.625,14.583,3.4922,3.8134,2.7197,3.3619,9.3182
0.626,14.651,3.5049,3.8221,2.7286,3.3682,9.356
0.627,14.718,3.5176,3.8309,2.7375,3.3745,9.3938
0.628,14.785,3.5302,3.8396,2.7464,3.3808,9.4316
0.629,14.853,3.5429,3.8483,2.7553,3.3871,9.4695
0.63,14.92,3.5556,3.857,2.7642,3.3934,9.516
0.631,14.987,3.5683,3.8657,2.7732,3.3997,9.5992
0.632,15.055,3.581,3.8744,2.7821,3.406,9.6824
0.633,15.122,3.5937,3.8832,2.791,3.4123,9.7656
0.634,15.189,3.6064,3.8919,2.7999,3.4186,9.8488
0.635,15.257,3.6191,3.9006,2.8088,3.4249,9.932
0.636,15.324,3.6318,3.9093,2.8177,3.4312,10.015
0.637,15.391,3.6444,3.918,2.8266,3.4375,10.098
0.638,15.459,3.6571,3.9267,2.8355,3.4438,10.182
0.639,15.52,3.6698,3.9355,2.8444,3.4501,10.265
0.64,15.57,3.6825,3.9442,2.8533,3.4564,10.348
0.641,15.62,3.6952,3.9529,2.8622,3.4627,10.431
0.642,15.671,3.7079,3.9616,2.8712,3.469,10.514
0.643,15.721,3.7206,3.9703,2.8801,3.4753,10.598
0.644,15.772,3.7332,3.979,2.889,3.4816,10.681
0.645,15.823,3.7459,3.9878,2.8979,3.4879,10.764
0.646,15.873,3.7586,3.9965,2.9068,3.4942,10.847
0.647,15.924,3.7713,4.0052,2.9157,3.5007,10.93
0.648,15.974,3.784,4.0139,2.9246,3.5089,11.014
0.649,16.024,3.7967,4.0226,2.9335,3.5172,11.097
0.65,16.075,3.8094,4.0313,2.9424,3.5255,11.18
0.651,16.125,3.8221,4.0401,2.9513,3.5338,11.263
0.652,16.176,3.8347,4.0488,2.9602,3.542,11.346
0.653,16.227,3.8474,4.0575,2.9692,3.5503,11.43
0.654,16.277,3.8601,4.0662,2.9781,3.5586,11.509
0.655,16.328,3.8728,4.0749,2.987,3.5669,11.569
0.656,16.378,3.8855,4.0836,2.9959,3.5751,11.628
0.657,16.428,3.8982,4.0924,3.0048,3.5834,11.687
0.658,16.479,3.9109,4.1011,3.0137,3.5917,11.747
0.659,16.559,3.9236,4.1098,3.0226,3.6,11.806
0.66,16.66,3.9363,4.1185,3.0315,3.6082,11.866
0.661,16.761,3.9489,4.1272,3.0404,3.6165,11.925
0.662,16.862,3.9616,4.1359,3.0493,3.6248,11.985
0.663,16.963,3.9743,4.1447,3.0582,3.6331,12.044
0.664,17.064,3.987,4.1534,3.0672,3.6413,12.103
0.665,17.165,3.9997,4.1621,3.0761,3.6496,12.163
0.666,17.266,4.0124,4.1708,3.085,3.6579,12.222
0.667,17.367,4.0251,4.1795,3.0939,3.6662,12.282
0.668,17.468,4.0377,4.1882,3.1028,3.6744,12.341
0.669,17.638,4.0504,4.197,3.1117,3.6827,12.401
0.67,17.84,4.0631,4.2057,3.1206,3.691,12.46
0.671,18.042,4.0758,4.2144,3.1295,3.6993,12.514
0.672,18.244,4.0885,4.2231,3.1384,3.7075,12.555
0.673,18.446,4.1012,4.2318,3.1473,3.7158,12.597
0.674,18.648,4.1139,4.2405,3.1562,3.7241,12.638
0.675,18.85,4.1266,4.2493,3.1652,3.7324,12.68
0.676,19.052,4.1393,4.258,3.1741,3.7406,12.722
0.677,19.254,4.1519,4.2667,3.183,3.7489,12.763
0.678,19.456,4.1646,4.2754,3.1919,3.7572,12.805
0.679,19.737,4.1773,4.2841,3.2008,3.7655,12.846
0.68,20.04,4.19,4.2928,3.2097,3.7737,12.888
0.681,20.343,4.2027,4.3016,3.2186,3.782,12.93
0.682,20.646,4.2154,4.3103,3.2275,3.7903,12.971
0.683,20.949,4.2281,4.319,3.2364,3.7985,13.013
0.684,21.063,4.2408,4.3277,3.2453,3.8068,13.054
0.685,21.139,4.2534,4.3364,3.2542,3.8151,13.096
0.686,21.215,4.2661,4.3451,3.2632,3.8234,13.138
0.687,21.29,4.2788,4.3539,3.2721,3.8316,13.179
0.688,21.366,4.2915,4.3626,3.281,3.8399,13.221
0.689,21.442,4.3042,4.3713,3.2899,3.8482,13.262
0.69,21.517,4.3169,4.38,3.2988,3.8565,13.304
0.691,21.593,4.3296,4.3887,3.3077,3.8647,13.346
0.692,21.669,4.3422,4.3974,3.3166,3.873,13.387
0.693,21.745,4.3549,4.4061,3.3255,3.8813,13.429
0.694,21.82,4.3676,4.4149,3.3344,3.8896,13.47
0.695,21.896,4.3803,4.4236,3.3433,3.8978,13.517
0.696,21.972,4.393,4.4323,3.3522,3.9061,13.577
0.697,22.048,4.4057,4.441,3.3612,3.9144,13.636
0.698,22.123,4.4184,4.4497,3.3701,3.9227,13.695
0.699,22.199,4.4311,4.4584,3.379,3.9309,13.755
0.7,22.275,4.4437,4.4672,3.3879,3.9392,13.814
0.701,22.351,4.4564,4.4759,3.3968,3.9475,13.874
0.702,22.427,4.4691,4.4846,3.4057,3.9558,13.933
0.703,22.506,4.4818,4.4933,3.4146,3.964,13.993
0.704,22.708,4.4945,4.5038,3.4235,3.9723,14.052
0.705,22.91,4.5096,4.52,3.4324,3.9806,14.111
0.706,23.112,4.5265,4.5362,3.4413,3.9889,14.171
0.707,23.314,4.5434,4.5524,3.4502,3.9971,14.23
0.708,23.516,4.5603,4.5687,3.4592,4.0054,14.29
0.709,23.718,4.5772,4.5849,3.4681,4.0137,14.349
0.71,23.92,4.5942,4.6011,3.477,4.022,14.409
0.711,24.122,4.6111,4.6173,3.4859,4.0302,14.468
0.712,24.324,4.628,4.6336,3.4948,4.0385,14.548
0.713,24.565,4.6449,4.6498,3.5111,4.0468,14.652
0.714,25.07,4.6618,4.666,3.5378,4.0551,14.756
0.715,25.575,4.6787,4.6822,3.5645,4.0633,14.86
0.716,26.08,4.6957,4.6984,3.5913,4.0716,14.964
0.717,26.585,4.7126,4.7147,3.618,4.0799,15.068
0.718,27.054,4.7295,4.7309,3.6447,4.0882,15.172
0.719,27.357,4.7464,4.7471,3.6715,4.0964,15.276
0.72,27.66,4.7633,4.7633,3.6982,4.1047,15.38
0.721,27.963,4.7802,4.7796,3.7249,4.113,15.484
0.722,28.266,4.7972,4.7958,3.7516,4.1213,15.544
0.723,28.546,4.8141,4.812,3.7784,4.1295,15.596
0.724,28.748,4.831,4.8282,3.8051,4.1378,15.648
0.725,28.95,4.8479,4.8444,3.8318,4.1461,15.7
0.726,29.152,4.8648,4.8607,3.8585,4.1544,15.752
0.727,29.354,4.8818,4.8769,3.8853,4.1626,15.804
0.728,29.556,4.8987,4.8931,3.912,4.1709,15.856
0.729,29.758,4.9156,4.9093,3.9387,4.1792,15.908
0.73,29.96,4.9325,4.9256,3.9655,4.1875,15.96
0.731,30.162,4.9494,4.9418,3.9922,4.1957,16.012
0.732,30.364,4.9663,4.958,4.0189,4.204,16.064
0.733,30.533,4.9832,4.9742,4.0456,4.2123,16.116
0.734,30.634,5.0002,4.9904,4.0724,4.2205,16.168
0.735,30.735,5.0171,5.0067,4.0991,4.2288,16.22
0.736,30.836,5.034,5.0229,4.1258,4.2371,16.272
0.737,30.937,5.0509,5.0391,4.1525,4.2454,16.324
0.738,31.038,5.0678,5.0553,4.1793,4.2536,16.376
0.739,31.139,5.0848,5.0716,4.206,4.2619,16.428
0.74,31.24,5.1017,5.0878,4.2327,4.2702,16.48
0.741,31.341,5.1186,5.104,4.2595,4.2785,16.537
0.742,31.442,5.1355,5.1202,4.2862,4.2867,16.596
0.743,31.586,5.1524,5.1364,4.3129,4.295,16.655
0.744,31.788,5.1693,5.1527,4.3396,4.3033,16.715
0.745,31.99,5.1863,5.1689,4.3664,4.3116,16.774
0.746,32.192,5.2032,5.1851,4.3931,4.3198,16.834
0.747,32.394,5.2201,5.2013,4.4198,4.3281,16.893
0.748,32.644,5.237,5.2176,4.4465,4.3364,16.953
0.749,32.947,5.2539,5.2338,4.4733,4.3447,17.012
0.75,33.25,5.2708,5.25,4.5,4.3529,17.071
0.751,33.553,5.2878,5.2662,4.528,4.3612,17.131
0.752,33.856,5.3047,5.2824,4.556,4.3695,17.19
0.753,34.159,5.3216,5.2987,4.584,4.3778,17.25
0.754,34.462,5.3385,5.3149,4.612,4.386,17.309
0.755,34.765,5.3554,5.3311,4.64,4.3943,17.369
0.756,35.068,5.3723,5.3473,4.668,4.4026,17.428
0.757,35.371,5.3893,5.3636,4.696,4.4109,17.487
0.758,35.616,5.4062,5.3798,4.724,4.4191,17.566
0.759,35.818,5.4231,5.396,4.752,4.4274,17.649
0.76,36.02,5.44,5.4122,4.78,4.4357,17.732
0.761,36.222,5.4569,5.4284,4.808,4.444,17.815
0.762,36.424,5.4738,5.4447,4.836,4.4522,17.898
0.763,36.626,5.4908,5.4609,4.864,4.4605,17.982
0.764,36.828,5.5115,5.4771,4.892,4.4688,18.065
0.765,37.03,5.5369,5.4933,4.92,4.4771,18.148
0.766,37.232,5.5623,5.5127,4.948,4.4853,18.231
0.767,37.434,5.5876,5.5344,4.976,4.4936,18.314
0.768,37.545,5.613,5.556,5.004,4.5031,18.398
0.769,37.613,5.6384,5.5776,5.032,4.5167,18.481
0.77,37.68,5.6638,5.5993,5.06,4.5303,18.58
0.771,37.747,5.6891,5.6209,5.088,4.5439,18.684
0.772,37.815,5.7145,5.6425,5.116,4.5575,18.788
0.773,37.882,5.7399,5.6641,5.144,4.5712,18.892
0.774,37.949,5.7653,5.6858,5.172,4.5848,18.996
0.775,38.017,5.7906,5.7074,5.2,4.5984,19.1
0.776,38.084,5.816,5.729,5.228,4.612,19.204
0.777,38.151,5.8414,5.7507,5.256,4.6256,19.308
0.778,38.219,5.8668,5.7723,5.284,4.6392,19.412
0.779,38.286,5.8921,5.7939,5.312,4.6528,19.509
0.78,38.353,5.9175,5.8156,5.34,4.6665,19.569
0.781,38.421,5.9429,5.8372,5.368,4.6801,19.628
0.782,38.488,5.9683,5.8588,5.396,4.6937,19.687
0.783,38.666,5.9936,5.8804,5.424,4.7073,19.747
0.784,38.868,6.019,5.9021,5.452,4.7209,19.806
0.785,39.07,6.0444,5.9237,5.48,4.7345,19.866
0.786,39.272,6.0698,5.9453,5.5129,4.7481,19.925
0.787,39.474,6.0951,5.967,5.5582,4.7617,19.985
0.788,39.588,6.1205,5.9886,5.6034,4.7754,20.044
0.789,39.689,6.1459,6.0102,5.6486,4.789,20.103
0.79,39.79,6.1713,6.0319,5.6938,4.8026,20.163
0.791,39.891,6.1966,6.0535,5.7391,4.8162,20.222
0.792,39.992,6.222,6.0751,5.7843,4.8298,20.282
0.793,40.093,6.2474,6.0967,5.8295,4.8434,20.341
0.794,40.194,6.2728,6.1184,5.8748,4.857,20.401
0.795,40.295,6.2981,6.14,5.92,4.8706,20.46
0.796,40.396,6.3235,6.1616,5.9652,4.8843,20.534
0.797,40.497,6.3489,6.1833,6.0105,4.8979,20.638
0.798,40.598,6.3742,6.2049,6.0557,4.9115,20.742
0.799,40.699,6.3996,6.2265,6.1009,4.9251,20.846
0.8,40.8,6.425,6.2481,6.1462,4.9387,20.95
0.801,40.901,6.4504,6.2698,6.1914,4.9523,21.054
0.802,41.002,6.4758,6.2914,6.2366,4.9659,21.158
0.803,41.103,6.5006,6.313,6.2818,4.9795,21.262
0.804,41.204,6.5141,6.3347,6.3271,4.9932,21.366
0.805,41.305,6.5277,6.3563,6.3723,5.0068,21.47
0.806,41.406,6.5412,6.3779,6.4175,5.0204,21.599
0.807,41.507,6.5547,6.3996,6.4628,5.034,21.737
0.808,41.608,6.5683,6.4212,6.5069,5.0476,21.876
0.809,41.709,6.5818,6.4428,6.5461,5.0612,22.015
0.81,41.81,6.5953,6.4644,6.5853,5.0748,22.153
0.811,41.911,6.6089,6.4861,6.6245,5.0885,22.292
0.812,42.012,6.6224,6.5189,6.6637,5.1021,22.431
0.813,42.113,6.6359,6.572,6.7029,5.1157,22.604
0.814,42.214,6.6495,6.6251,6.7421,5.1293,22.812
0.815,42.315,6.663,6.6782,6.7813,5.1429,23.02
0.816,42.416,6.6765,6.7313,6.8205,5.1565,23.228
0.817,42.517,6.6901,6.7844,6.8597,5.1701,23.436
0.818,42.618,6.7036,6.8375,6.8989,5.1837,23.788
0.819,42.719,6.7171,6.8905,6.9381,5.1974,24.204
0.82,42.82,6.7307,6.9436,6.9773,5.211,24.56
0.821,42.921,6.7442,6.9967,7.0165,5.2246,24.768
0.822,43.022,6.7577,7.0498,7.0557,5.2382,24.976
0.823,43.123,6.7713,7.1029,7.0949,5.2518,25.184
0.824,43.224,6.7848,7.156,7.1341,5.2654,25.392
0.825,43.325,6.7983,7.2091,7.1733,5.279,25.55
0.826,43.426,6.8119,7.2622,7.2125,5.2926,25.654
0.827,43.554,6.8254,7.3153,7.2517,5.3063,25.758
0.828,43.756,6.8389,7.3684,7.2909,5.3199,25.862
0.829,43.958,6.8525,7.4215,7.3301,5.3335,25.966
0.83,44.16,6.866,7.4745,7.3693,5.3471,26.07
0.831,44.362,6.8795,7.5276,7.4085,5.3607,26.174
0.832,44.532,6.8931,7.5807,7.4477,5.3743,26.278
0.833,44.633,6.9066,7.6338,7.4869,5.3879,26.382
0.834,44.734,6.9201,7.6869,7.5356,5.4015,26.486
0.835,44.835,6.9337,7.74,7.5891,5.4152,26.59
0.836,44.936,6.9472,7.7931,7.6425,5.4288,26.694
0.837,45.037,6.9607,7.8462,7.696,5.4424,26.798
0.838,45.138,6.9743,7.8993,7.7495,5.456,26.902
