PRCTILE,GOOD_ON_DUR,GOOD_OFF_DUR,AVG_ON_DUR,AVG_OFF_DUR,POOR_ON_DUR,POOR_OFF_DUR
0.094,1.4128,1.1193,1.2033,1.1274,1.1926,1.1917
0.095,1.4172,1.1205,1.2055,1.1287,1.1946,1.1937
0.096,1.4216,1.1218,1.2076,1.1301,1.1967,1.1958
0.097,1.426,1.1231,1.2098,1.1314,1.1987,1.1978
0.098,1.4303,1.1243,1.212,1.1328,1.2008,1.1998
0.099,1.4347,1.1256,1.2141,1.1341,1.2028,1.2019
0.1,1.4391,1.1269,1.2163,1.1355,1.2049,1.2039
0.101,1.4435,1.1281,1.2185,1.1368,1.2069,1.206
0.102,1.4479,1.1294,1.2206,1.1382,1.209,1.208
0.103,1.4523,1.1307,1.2228,1.1395,1.211,1.21
0.104,1.4567,1.1319,1.2249,1.1409,1.213,1.2121
0.105,1.4611,1.1332,1.2271,1.1423,1.2151,1.2141
0.106,1.4655,1.1345,1.2293,1.1436,1.2171,1.2162
0.107,1.4699,1.1358,1.2314,1.145,1.2192,1.2182
0.108,1.4743,1.137,1.2336,1.1463,1.2212,1.2202
0.109,1.4787,1.1383,1.2358,1.1477,1.2233,1.2223
0.11,1.483,1.1396,1.2379,1.149,1.2253,1.2243
0.111,1.4874,1.1408,1.2401,1.1504,1.2274,1.2264
0.112,1.4918,1.1421,1.2423,1.1517,1.2294,1.2284
0.113,1.4962,1.1434,1.2444,1.1531,1.2315,1.2304
0.114,1.5012,1.1446,1.2466,1.1545,1.2335,1.2325
0.115,1.5096,1.1459,1.2487,1.1558,1.2356,1.2345
0.116,1.518,1.1472,1.2509,1.1572,1.2376,1.2365
0.117,1.5264,1.1484,1.2531,1.1585,1.2397,1.2386
0.118,1.5348,1.1497,1.2552,1.1599,1.2417,1.2406
0.119,1.5433,1.151,1.2574,1.1612,1.2438,1.2427
0.12,1.5517,1.1522,1.2596,1.1626,1.2458,1.2447
0.121,1.5601,1.1535,1.2617,1.1639,1.2479,1.2467
0.122,1.5685,1.1548,1.2639,1.1653,1.2499,1.2488
0.123,1.5769,1.1561,1.266,1.1666,1.252,1.2508
0.124,1.5853,1.1573,1.2682,1.168,1.254,1.2529
0.125,1.5938,1.1586,1.2704,1.1694,1.2561,1.2549
0.126,1.6022,1.1599,1.2725,1.1707,1.2581,1.2569
0.127,1.6106,1.1611,1.2747,1.1721,1.2602,1.259
